Exploding Kitten,Attack,Skip,Favor,Shuffle,See-The-Future,Draw-From-Bottom,Defuse,Taco,Watermelon,Potato,Beard,Rainbow,Last Card Played Index,Cards in Deck,Attack Winrate,Skip Winrate,Favor Winrate,Shuffle Winrate,See-The-Future Winrate,Draw-From-Bottom Winrate,Defuse Winrate,Taco Winrate,Watermelon Winrate,Potato Winrate,Beard Winrate,Rainbow Winrate,Draw Winrate
0,1,1,0,0,0,0,0,0,1,1,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,2,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0
0,0,0,1,0,0,0,2,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,1,1,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,1,1,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,3,2,1,0,1,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,1,0,1,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,1,0,1,1,1,1,7,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0
0,0,0,1,0,0,0,1,0,1,0,2,1,8,2,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0
0,1,0,0,0,0,0,1,2,1,0,1,1,3,2,1.0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.0
0,0,0,1,0,0,0,1,2,1,0,1,1,4,1,0,0,0,0,0,0,0.9531772575250836,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,2,0,1,1,8,1,0,0,0.023121387283236993,0,0,0,0,0,0.08045977011494253,0,0,0,0.06037735849056604
0,0,0,0,0,0,0,2,2,1,0,1,1,3,1,0,0,0,0,0,0,0,0.04560260586319218,0,0,0,0,0.06313131313131314
0,1,0,0,0,0,0,2,0,1,1,1,1,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,2,0,1,0,1,1,8,2,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1,2,1,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0
0,0,0,1,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,2,0,1,0,1,1,8,2,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0
0,0,1,0,0,0,0,1,2,1,0,1,1,3,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0
0,1,0,0,1,0,0,2,0,1,1,1,1,7,2,0.3333333333333333,0,0,1.0,0,0,0,0,0,0,0,0,1.0
0,0,0,1,0,0,0,1,0,1,0,1,2,8,2,0,0,0,0,0,0,0.8666666666666667,0,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,1,0,12,2,0,0,0.0,0.2,0,0,0,0,0,0,0,0,0.2
0,0,0,0,0,0,0,2,0,1,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.2
0,0,0,0,1,0,0,1,2,1,0,1,1,3,2,0,0,0,0,0,0,0.9166666666666666,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,1,0,2,1,8,2,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0
0,0,0,0,0,0,0,1,2,1,0,1,1,4,2,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0.8181818181818182
0,0,0,1,0,0,0,0,2,1,0,1,1,7,2,0,0,0.8333333333333334,0,0,0,0,0.0,0,0,0,0,1.0
